Trip_ID,Truck_ID,Driver_ID,Start_Location,End_Location,Scheduled_Departure,Scheduled_Arrival,Actual_Departure,Actual_Arrival,Weather_Condition,Traffic_Level,Road_Condition,Delay_Minutes,Distance_km,Fuel_Consumption_L,scheduled_duration_min,actual_duration_min,delay_recomputed,avg_speed_actual,fuel_efficiency_kmpl,hour_of_day,day_of_week,month,delay_min,computed_speed
T1000,TR103,D270,Lucknow,Pune,2024-05-27 06:08:00,2024-05-27 10:42:00,2024-05-27 06:25:00,2024-05-27 13:20:00,Snow,Medium,Moderate,141,648,132.19,274,415.0,141,93.68674699,4.902034949693623,6,0,5,158.0,93.6867469879518
T1001,TR180,D347,Kolkata,Jaipur,2024-02-06 04:54:00,2024-02-06 09:28:00,2024-02-06 05:38:00,2024-02-06 11:23:00,Storm,High,Moderate,71,596,185.69,274,345.0,71,103.6521739,3.209650492756745,4,1,2,115.0,103.65217391304348
T1002,TR93,D153,Lucknow,Delhi,2024-02-22 01:35:00,2024-02-22 07:16:00,2024-02-22 01:40:00,2024-02-22 07:29:00,Snow,Low,Poor,8,1076,223.09,341,349.0,8,184.9856734,4.823165538571876,1,3,2,13.0,78.82579317134292
T1003,TR15,D333,Bangalore,Delhi,2024-03-01 03:42:00,2024-03-01 13:31:00,2024-03-01 04:35:00,2024-03-01 14:31:00,Rainy,Low,Good,7,1248,288.69,589,596.0,7,125.6375839,4.322976202847345,3,4,3,60.0,125.63758389261744
T1004,TR107,D85,Pune,Bangalore,2024-05-07 03:13:00,2024-05-07 04:14:00,2024-05-07 03:42:00,2024-05-07 05:25:00,Rainy,Medium,Moderate,42,239,77.48,61,103.0,42,139.223301,3.0846670108415073,3,1,5,71.0,139.2233009708738
T1005,TR72,D109,Jaipur,Chennai,2024-04-13 23:38:00,2024-04-14 09:10:00,2024-04-14 00:19:00,2024-04-14 10:47:00,Clear,Low,Good,56,835,200.86,572,628.0,56,79.77707006,4.157124365229513,23,5,4,97.0,79.77707006369427
T1006,TR189,D31,Mumbai,Lucknow,2024-05-21 03:26:00,2024-05-21 12:09:00,2024-05-21 03:50:00,2024-05-21 13:02:00,Storm,Low,Good,29,362,105.98,523,552.0,29,39.34782609,3.415738818645027,3,1,5,53.0,39.34782608695652
T1007,TR21,D229,Bangalore,Jaipur,2024-05-11 00:59:00,2024-05-11 09:25:00,2024-05-11 01:47:00,2024-05-11 11:23:00,Storm,High,Moderate,70,997,355.34,506,576.0,70,103.8541667,2.8057634941183096,0,5,5,118.0,103.85416666666667
T1008,TR103,D240,Lucknow,Bangalore,2024-02-09 23:21:00,2024-02-10 06:23:00,2024-02-09 23:15:00,2024-02-10 06:21:00,Snow,Low,Good,4,634,232.08,422,426.0,4,89.29577465,2.7318166149603584,23,4,2,-2.0,89.29577464788733
T1009,TR122,D378,Jaipur,Pune,2024-01-26 19:17:00,2024-01-26 23:52:00,2024-01-26 20:15:00,2024-01-27 01:08:00,Rainy,High,Good,18,1633,642.14,275,293.0,18,334.4027304,2.5430591459806275,19,4,1,76.0,78.82579317134292
